#This work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.
#To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-sa/4.0/.

PEOPLE	GENDER	AGE	SOURCE	ENTER	BUY	EXPENSE	COST
1	male	16	street	0	0	0	0
2	female	16	street	0	0	0	0
3	female	18	street	0	0	0	0
4	male	35	street	1	0	0	0
5	female	18	street	0	0	0	0
6	female	51	street	0	0	0	0
7	female	41	street	1	1	14.99	0
8	female	17	street	1	0	0	0
9	female	20	street	0	0	0	0
10	male	27	street	1	0	0	0
11	female	39	street	0	0	0	0
12	female	40	street	0	0	0	0
13	male	25	street	0	0	0	0
14	male	67	street	0	0	0	0
15	female	64	street	1	0	0	0
16	female	46	street	0	0	0	0
17	female	69	street	0	0	0	0
18	female	16	street	1	1	2.99	0
19	female	49	street	0	0	0	0
20	female	54	street	0	0	0	0
21	male	19	street	1	0	0	0
22	male	61	street	0	0	0	0
23	female	26	street	0	0	0	0
24	female	33	street	1	1	7.99	0
25	male	66	street	1	1	10.99	0
26	female	49	street	0	0	0	0
27	female	17	street	0	0	0	0
28	female	59	street	0	0	0	0
29	female	64	street	0	0	0	0
30	female	37	street	1	0	0	0
31	female	63	street	1	0	0	0
32	female	67	street	0	0	0	0
33	male	46	street	0	0	0	0
34	female	16	street	1	0	0	0
35	male	32	street	0	0	0	0
36	female	29	street	1	1	14.99	0
37	female	46	street	1	0	0	0
38	male	29	street	1	0	0	0
39	female	16	street	0	0	0	0
40	female	19	street	0	0	0	0
41	male	18	street	0	0	0	0
42	female	17	street	1	0	0	0
43	female	30	street	0	0	0	0
44	male	16	street	0	0	0	0
45	male	64	street	0	0	0	0
46	female	35	street	0	0	0	0
47	female	26	street	0	0	0	0
48	female	22	street	1	1	1.99	0
49	male	52	street	1	0	0	0
50	female	30	street	0	0	0	0
51	male	50	street	1	0	0	0
52	female	26	street	1	1	3.99	0
53	male	16	street	0	0	0	0
54	female	36	street	0	0	0	0
55	male	32	street	0	0	0	0
56	female	20	street	0	0	0	0
57	female	16	street	0	0	0	0
58	female	53	street	0	0	0	0
59	female	26	street	0	0	0	0
60	male	60	street	0	0	0	0
61	male	26	street	0	0	0	0
62	female	17	street	1	0	0	0
63	female	32	street	1	0	0	0
64	female	64	street	0	0	0	0
65	male	16	street	0	0	0	0
66	male	39	street	0	0	0	0
67	female	49	street	1	0	0	0
68	male	55	street	1	1	9.99	0
69	female	66	street	1	0	0	0
70	male	16	street	0	0	0	0
71	male	60	street	0	0	0	0
72	male	17	street	1	0	0	0
73	male	20	street	0	0	0	0
74	female	29	street	0	0	0	0
75	male	66	street	0	0	0	0
76	female	52	street	1	0	0	0
77	female	62	street	1	0	0	0
78	female	21	street	0	0	0	0
79	male	22	street	0	0	0	0
80	female	70	street	1	1	12.99	0
81	male	53	street	0	0	0	0
82	female	36	street	0	0	0	0
83	male	16	street	0	0	0	0
84	male	19	street	1	1	12.99	0
85	female	26	street	0	0	0	0
86	female	48	street	0	0	0	0
87	female	50	street	0	0	0	0
88	male	52	street	1	1	11.99	0
89	female	17	street	1	0	0	0
90	male	40	street	0	0	0	0
91	female	20	street	0	0	0	0
92	female	17	street	0	0	0	0
93	female	43	street	1	1	2.99	0
94	female	63	street	0	0	0	0
95	male	22	street	0	0	0	0
96	female	33	street	0	0	0	0
97	male	35	street	1	0	0	0
98	male	54	street	0	0	0	0
99	male	63	street	0	0	0	0
100	female	23	street	1	0	0	0
101	male	58	flyer	0	0	0	-0.1
102	male	32	flyer	1	1	7.99	-0.1
103	male	35	flyer	1	1	9.99	-0.1
104	female	18	flyer	0	0	0	-0.1
105	male	27	flyer	0	0	0	-0.1
106	male	32	flyer	1	1	19.99	-0.1
107	male	48	flyer	0	0	0	-0.1
108	male	57	flyer	1	1	9.99	-0.1
109	female	66	flyer	0	0	0	-0.1
110	male	45	flyer	1	1	9.99	-0.1
111	female	21	flyer	1	1	14.99	-0.1
112	female	29	flyer	0	0	0	-0.1
113	male	22	flyer	0	0	0	-0.1
114	male	56	flyer	0	0	0	-0.1
115	male	18	flyer	1	0	0	-0.1
116	female	50	flyer	0	0	0	-0.1
