#This work is licensed under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License.
#To view a copy of this license, visit http://creativecommons.org/licenses/by-nc-sa/4.0/.

EVENT	NUMBER OF PEOPLE	GENDER	ESTIMATED AGE	CAMPAIGN	ENTER	BUY	PRODUCT MARGIN	CAMPAIGN COST	BUYER'S GENDER	BUYER'S AGE	PAYMENT METHOD	DATE
1	3	male	16	street	0	0	0	0				02/01/2014
2	4	mixed	18	street	0	0	0	0				02/01/2014
3	1	male	58	flyer	0	0	0	-0.1				02/01/2014
4	2	mixed	35	street	1	0	0	0				03/01/2014
5	1	male	32	flyer	0	0	0	-0.1				03/01/2014
6	2	male	16	flyer	0	0	0	-0.1				03/01/2014
7	1	female	40	street	0	0	0	0				03/01/2014
8	2	female	27	flyer	0	0	0	-0.1				03/01/2014
9	2	mixed	55	flyer	0	0	0	-0.1				03/01/2014
10	1	female	51	street	0	0	0	0				03/01/2014
11	1	female	17	street	1	0	0	0				03/01/2014
12	1	female	67	flyer	0	0	0	-0.1				03/01/2014
13	2	female	39	street	0	0	0	0				03/01/2014
14	1	male	27	street	1	0	0	0				03/01/2014
15	1	female	62	flyer	0	0	0	-0.1				04/01/2014
16	1	male	66	flyer	1	1	19.99	-0.1	male	66	credit card	04/01/2014
17	2	mixed	64	flyer	0	0	0	-0.1				04/01/2014
18	1	female	20	street	0	0	0	0				04/01/2014
19	2	female	64	street	1	0	0	0				04/01/2014
20	1	female	39	flyer	1	0	0	-0.1				04/01/2014
21	1	male	46	flyer	0	0	0	-0.1				04/01/2014
22	2	female	46	street	0	0	0	0				04/01/2014
23	4	female	17	street	1	1	2.99	0	female	18	cash	04/01/2014
24	2	male	34	flyer	1	1	8.99	-0.1	male	35	cash	04/01/2014
25	1	male	47	flyer	0	0	0	-0.1				04/01/2014
26	2	female	69	street	0	0	0	0				04/01/2014
27	2	mixed	22	flyer	0	0	0	-0.1				07/01/2014
28	2	female	33	flyer	1	0	0	-0.1				08/01/2014
29	2	mixed	42	flyer	0	0	0	-0.1				08/01/2014
30	3	male	19	street	1	0	0	0				08/01/2014
31	1	female	33	street	1	1	7.99	0	female	33	credit card	09/01/2014
32	1	male	67	flyer	1	0	0	-0.1				09/01/2014
33	2	mixed	55	flyer	0	0	0	-0.1				09/01/2014
34	1	female	24	flyer	0	0	0	-0.1				09/01/2014
35	1	female	49	street	0	0	0	0				10/01/2014
36	1	female	54	street	0	0	0	0				10/01/2014
37	2	female	41	flyer	0	0	0	-0.1				10/01/2014
38	2	mixed	66	street	1	1	10.99	0	male	68	credit card	10/01/2014
39	1	female	49	street	0	0	0	0				10/01/2014
40	1	female	48	flyer	0	0	0	-0.1				11/01/2014
41	2	female	17	street	0	0	0	0				11/01/2014
42	1	female	59	street	0	0	0	0				11/01/2014
43	1	female	64	street	0	0	0	0				11/01/2014
44	3	mixed	37	street	1	0	0	0				11/01/2014
45	2	male	28	flyer	1	1	14.99	-0.1	male	27	credit card	11/01/2014
46	2	mixed	51	flyer	0	0	0	-0.1				11/01/2014
47	1	female	63	street	1	0	0	0				13/01/2014
